,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i
48,1,1,0,0,1,0,0,0,0,1
49,1,0,0,1,1,0,0,0,0,1
50,1,0,0,0,1,0,0,0,1,1
51,0,0,0,1,1,0,1,1,0,0
52,0,1,0,1,1,0,1,0,0,0
53,1,1,0,0,0,1,0,0,0,1
54,1,0,0,0,1,1,1,0,0,0
55,1,0,0,0,0,0,1,1,0,1
56,0,1,1,0,0,0,1,0,1,0
57,0,0,0,0,1,1,0,1,0,1
58,1,1,1,0,0,0,0,0,1,0
59,0,1,0,0,0,1,1,0,1,0
60,1,0,1,1,0,0,1,0,0,0
61,0,0,1,1,0,1,1,0,0,0
62,1,0,0,0,0,1,0,1,1,0
63,0,0,0,0,1,1,0,0,1,1
64,0,1,1,0,0,1,0,0,1,0
65,0,0,0,1,1,0,0,1,1,0
66,1,1,0,0,0,0,1,0,0,1
67,1,0,0,1,1,0,0,1,0,0
68,1,0,1,0,0,1,0,0,0,1
69,1,0,1,0,0,0,0,0,1,1
70,0,1,0,1,1,1,0,0,0,0
71,1,0,0,0,0,0,1,1,1,0
72,0,0,1,0,0,0,0,1,1,1
73,1,1,1,0,0,1,0,0,0,0
74,0,1,0,0,1,1,0,0,0,1
75,1,1,0,0,0,0,0,1,1,0
76,0,0,1,0,1,0,0,0,1,1
77,0,0,0,0,0,1,1,1,1,0
78,0,1,0,1,0,0,0,1,1,0
79,0,1,1,0,1,0,0,0,0,1
80,0,1,0,1,1,0,0,0,1,0
81,0,0,1,1,1,0,1,0,0,0
82,1,0,0,1,0,1,0,0,1,0
83,0,0,1,1,0,0,1,0,1,0
84,0,1,1,1,0,1,0,0,0,0
85,0,0,1,0,1,1,0,1,0,0
86,0,1,1,0,0,1,1,0,0,0
87,1,0,0,1,0,0,0,1,1,0
88,0,1,0,0,0,0,1,1,1,0
89,0,1,1,0,0,0,0,1,0,1
90,0,1,0,1,1,0,0,1,0,0
91,0,1,1,0,0,0,1,1,0,0
92,0,0,1,0,0,1,0,1,0,1
93,1,0,0,1,1,0,1,0,0,0
94,0,1,0,0,1,0,0,0,1,1
95,0,0,0,1,0,1,0,1,0,1
96,1,0,0,0,0,1,0,0,1,1
97,0,1,0,0,1,1,0,0,1,0
98,0,0,1,0,0,0,1,0,1,1
99,0,0,1,0,1,0,1,1,0,0
100,0,0,0,1,1,1,0,0,0,1
101,0,0,1,0,1,0,1,0,0,1
102,1,0,0,1,0,1,0,0,0,1
103,1,1,0,0,0,1,0,1,0,0
104,1,1,1,0,0,0,0,1,0,0
105,1,0,0,0,0,1,1,1,0,0
106,0,0,1,1,0,1,0,1,0,0
107,0,0,0,1,0,0,0,1,1,1
108,0,0,1,0,1,0,1,0,1,0
109,1,1,0,1,0,0,1,0,0,0
110,1,1,0,0,1,0,1,0,0,0
111,0,0,0,1,1,0,0,1,0,1
112,0,0,1,1,1,0,0,1,0,0
113,0,0,0,1,0,1,1,1,0,0
114,0,1,1,0,1,0,0,0,1,0
115,0,0,0,0,0,1,1,0,1,1
116,0,1,0,0,1,0,0,1,1,0
117,1,0,1,0,1,1,0,0,0,0
118,0,1,0,1,0,1,0,0,1,0
119,0,1,1,0,1,1,0,0,0,0
120,1,1,0,0,0,0,1,1,0,0
121,0,0,1,0,1,1,0,0,1,0
122,1,0,0,1,0,0,0,0,1,1
123,0,0,1,1,0,0,1,0,0,1
124,1,0,0,0,1,0,0,1,1,0
125,0,1,0,1,0,1,0,0,0,1
126,1,1,0,0,1,1,0,0,0,0
127,0,0,0,1,1,0,0,0,1,1
128,0,1,0,0,1,1,1,0,0,0
129,0,1,0,1,0,1,1,0,0,0
130,1,1,0,0,1,0,0,1,0,0
131,0,0,0,0,1,0,1,1,0,1
132,1,0,1,0,0,0,1,1,0,0
133,0,0,0,1,1,0,1,0,0,1
134,1,0,0,0,0,0,0,1,1,1
135,1,0,1,0,0,0,1,0,1,0
136,0,1,0,1,0,0,1,1,0,0
137,1,1,0,0,0,0,0,0,1,1
138,1,1,0,1,0,0,0,1,0,0
139,0,1,0,1,0,0,0,0,1,1
140,0,1,0,0,1,1,0,1,0,0
141,1,0,0,0,0,1,1,0,0,1
142,1,0,0,1,0,1,0,1,0,0
143,0,0,1,1,0,1,0,0,0,1
144,1,0,0,0,1,0,1,0,1,0
145,1,0,1,0,1,0,0,0,1,0
146,0,0,1,0,0,1,1,0,0,1
147,0,0,0,1,0,1,0,0,1,1
148,1,1,0,0,0,1,0,0,1,0
149,0,0,1,0,1,1,0,0,0,1
150,0,0,0,1,1,0,1,0,1,0
151,0,0,0,0,1,0,1,1,1,0
152,1,1,0,0,0,0,0,1,0,1
153,0,0,1,0,0,1,0,1,1,0
154,0,0,1,1,0,1,0,0,1,0
155,1,1,1,0,1,0,0,0,0,0
156,0,0,1,0,1,0,0,1,1,0
157,0,0,1,0,0,1,0,0,1,1
158,0,1,0,0,0,1,0,1,1,0
159,0,1,1,1,0,0,1,0,0,0
160,0,1,0,0,0,0,0,1,1,1
161,0,0,0,1,1,1,0,1,0,0
162,1,0,0,0,0,0,1,0,1,1
163,1,0,0,1,0,1,1,0,0,0
164,1,1,0,1,0,0,0,0,0,1
165,0,1,0,0,0,0,1,0,1,1
166,0,1,0,1,0,1,0,1,0,0
167,0,1,0,1,0,0,1,0,1,0
168,1,0,1,0,1,0,1,0,0,0
169,1,0,1,1,0,0,0,1,0,0
170,0,0,1,1,1,0,0,0,1,0
171,0,0,0,1,0,0,1,1,1,0
172,0,0,1,0,1,1,1,0,0,0
173,1,0,0,0,0,1,0,1,0,1
174,1,0,1,1,0,1,0,0,0,0
175,0,1,0,0,1,0,1,1,0,0
176,0,0,0,0,0,1,0,1,1,1
177,0,0,0,0,0,0,1,1,1,1
178,0,1,0,0,0,1,1,0,0,1
179,0,1,0,0,1,0,1,0,1,0
180,0,0,1,1,0,0,0,1,1,0
181,0,0,0,0,1,1,1,0,1,0
182,0,0,0,0,1,1,1,1,0,0
183,1,1,0,0,0,0,1,0,1,0
184,0,0,0,1,0,0,1,1,0,1
185,0,1,1,1,0,0,0,0,0,1
186,0,0,1,1,0,0,1,1,0,0
187,1,1,0,1,1,0,0,0,0,0
188,0,1,0,0,0,1,1,1,0,0
189,0,1,0,1,0,0,1,0,0,1
190,1,0,1,0,0,1,0,0,1,0
191,1,0,1,0,0,1,1,0,0,0
192,1,0,0,0,1,1,0,0,0,1
193,1,0,0,0,1,0,0,1,0,1
194,1,0,0,1,0,0,1,0,1,0
195,0,1,0,0,0,1,0,1,0,1
196,0,1,1,0,0,0,1,0,0,1
197,0,0,1,1,0,0,0,1,0,1
198,0,0,0,0,1,1,0,1,1,0
199,1,0,0,1,0,0,1,0,0,1
200,0,1,1,0,0,1,0,0,0,1
201,0,0,1,0,1,0,0,1,0,1
202,0,1,1,0,0,0,0,1,1,0
203,1,0,1,0,0,0,1,0,0,1
204,0,1,1,0,1,0,1,0,0,0
205,1,1,1,1,0,0,0,0,0,0
206,0,0,0,1,0,0,1,0,1,1
207,0,1,1,0,0,0,0,0,1,1
208,1,0,1,0,1,0,0,0,0,1
209,1,0,0,0,1,0,1,0,0,1
210,1,0,1,0,0,0,0,1,1,0
